data,quantidade
3/21/2012,224
3/20/2012,170
3/19/2012,153
3/18/2012,48
3/16/2012,162
3/15/2012,235
3/3/2012,26
2/4/2012,18
1/31/2012,262
1/30/2012,217
1/29/2012,31
1/27/2012,247
1/26/2012,226
1/25/2012,189
1/24/2012,253
1/23/2012,243
1/22/2012,46
1/20/2012,154
1/19/2012,218
1/18/2012,203
1/17/2012,201
1/16/2012,216
1/15/2012,51
1/12/2012,213
1/11/2012,191
1/10/2012,189
1/9/2012,178
1/6/2012,178
1/5/2012,183
1/4/2012,187
1/3/2012,167
1/2/2012,163
1/1/2012,33
12/30/2011,100
12/29/2011,158
12/28/2011,118
12/27/2011,153
12/26/2011,126
12/25/2011,34
12/23/2011,134
12/22/2011,213
12/21/2011,219
12/20/2011,203
12/19/2011,152
12/18/2011,43
12/17/2011,30
12/16/2011,177
12/15/2011,211
12/14/2011,213
12/13/2011,183
12/12/2011,157
12/10/2011,28
12/9/2011,196
12/7/2011,208
12/2/2011,193
12/1/2011,226
11/30/2011,228
11/29/2011,219
11/28/2011,186
11/26/2011,33
11/25/2011,198
11/24/2011,223
11/23/2011,272
11/22/2011,234
11/21/2011,256
11/18/2011,192
11/17/2011,229
11/16/2011,233
11/15/2011,91
11/14/2011,170
10/14/2011,246
10/13/2011,330
3/3/2013,29
3/2/2013,19
2/17/2013,12
2/16/2013,44
2/10/2013,16
2/9/2013,13
1/29/2013,229
1/28/2013,205
1/27/2013,30
1/26/2013,33
1/25/2013,150
1/24/2013,225
1/23/2013,224
1/22/2013,213
1/21/2013,182
1/20/2013,14
1/19/2013,16
1/18/2013,184
1/17/2013,204
1/16/2013,230
1/15/2013,213
1/14/2013,227
1/13/2013,19
1/12/2013,10
1/11/2013,178
1/10/2013,248
1/9/2013,198
1/8/2013,188
1/7/2013,183
1/6/2013,23
1/5/2013,11
1/4/2013,161
12/29/2012,23
12/26/2012,148
12/25/2012,17
12/23/2012,29
12/22/2012,18
12/17/2012,212
12/16/2012,21
12/15/2012,7
12/13/2012,233
12/9/2012,33
12/8/2012,17
12/7/2012,239
12/6/2012,250
12/2/2012,25
12/1/2012,24
11/30/2012,250
11/26/2012,239
11/25/2012,37
11/24/2012,17
11/18/2012,23
11/11/2012,23
11/3/2012,11
10/25/2012,227
10/24/2012,249
10/23/2012,203
10/22/2012,214
10/21/2012,20
10/20/2012,16
10/19/2012,204
10/18/2012,260
10/17/2012,274
10/16/2012,250
10/15/2012,240
10/14/2012,20
10/13/2012,30
10/11/2012,199
10/10/2012,264
10/9/2012,231
10/8/2012,222
10/7/2012,24
10/5/2012,194
10/4/2012,231
10/3/2012,196
10/2/2012,217
10/1/2012,222
9/30/2012,36
9/28/2012,208
1/13/2012,204
1/8/2012,35
12/31/2011,21
12/24/2011,18
12/11/2011,22
12/8/2011,211
11/27/2011,42
11/13/2011,66
11/12/2011,38
11/11/2011,243
11/10/2011,320
11/9/2011,244
11/8/2011,238
11/7/2011,229
11/6/2011,40
11/5/2011,30
11/4/2011,230
11/3/2011,282
11/2/2011,130
11/1/2011,265
10/31/2011,223
10/30/2011,36
10/28/2011,227
10/27/2011,274
10/26/2011,265
10/25/2011,246
10/24/2011,203
10/23/2011,37
10/21/2011,207
10/20/2011,262
10/19/2011,297
10/18/2011,315
10/17/2011,269
10/16/2011,36
10/12/2011,94
10/11/2011,318
10/10/2011,245
10/9/2011,33
10/7/2011,255
10/6/2011,304
10/5/2011,332
10/4/2011,301
10/3/2011,310
10/2/2011,40
10/1/2011,31
9/30/2011,257
9/29/2011,319
9/28/2011,258
9/27/2011,311
9/26/2011,272
9/25/2011,43
9/24/2011,50
9/23/2011,205
9/22/2011,278
9/21/2011,306
9/20/2011,325
9/19/2011,271
9/18/2011,41
9/17/2011,29
9/16/2011,250
9/15/2011,272
9/14/2011,295
9/13/2011,288
9/12/2011,248
9/11/2011,41
9/10/2011,29
9/9/2011,201
9/8/2011,252
9/7/2011,84
9/6/2011,257
9/5/2011,167
9/4/2011,29
9/2/2011,235
9/1/2011,237
8/31/2011,258
8/30/2011,228
8/29/2011,220
8/28/2011,35
8/27/2011,39
8/26/2011,217
8/25/2011,231
8/24/2011,227
8/23/2011,269
8/22/2011,221
8/21/2011,28
8/15/2011,219
8/14/2011,18
8/11/2011,296
8/10/2011,251
8/9/2011,268
8/8/2011,287
8/7/2011,51
8/6/2011,53
8/5/2011,254
8/4/2011,254
8/3/2011,253
8/2/2011,291
8/1/2011,258
7/31/2011,47
7/30/2011,39
7/29/2011,273
7/27/2011,269
7/26/2011,263
7/25/2011,241
7/20/2011,245
7/19/2011,205
7/18/2011,198
7/14/2011,200
7/13/2011,246
7/12/2011,277
7/11/2011,226
7/8/2011,230
7/7/2011,241
7/5/2011,216
7/4/2011,205
7/1/2011,195
6/27/2011,205
6/22/2011,204
6/21/2011,187
6/15/2011,212
6/10/2011,196
6/9/2011,197
6/5/2011,35
6/1/2011,255
5/27/2011,173
5/20/2011,190
5/19/2011,223
5/18/2011,238
5/17/2011,252
5/16/2011,276
5/15/2011,38
5/13/2011,233
5/12/2011,271
5/10/2011,247
5/9/2011,215
5/5/2011,228
5/2/2011,190
4/27/2011,254
4/19/2011,235
4/18/2011,225
4/13/2011,241
4/12/2011,209
4/11/2011,228
4/7/2011,239
3/31/2011,229
3/30/2011,223
3/25/2011,222
3/23/2011,205
3/16/2011,225
3/15/2011,207
3/14/2011,227
3/9/2011,162
3/8/2011,54
3/4/2011,195
3/3/2011,260
2/25/2011,206
10/12/2012,72
10/6/2012,16
9/29/2012,27
9/22/2012,24
9/21/2012,201
9/15/2012,18
9/8/2012,20
8/18/2012,18
8/5/2012,39
8/4/2012,26
8/3/2012,232
7/29/2012,32
7/28/2012,15
7/27/2012,249
7/26/2012,298
7/25/2012,266
7/24/2012,273
6/30/2012,19
6/24/2012,38
6/23/2012,13
6/22/2012,214
6/21/2012,266
6/17/2012,51
6/16/2012,38
6/15/2012,284
6/14/2012,311
6/13/2012,275
6/12/2012,287
6/11/2012,281
6/10/2012,42
6/9/2012,57
6/8/2012,178
6/7/2012,116
6/6/2012,317
6/3/2012,35
6/2/2012,26
6/1/2012,267
5/29/2012,248
5/28/2012,194
5/27/2012,41
5/26/2012,21
5/25/2012,194
5/20/2012,31
5/19/2012,31
5/18/2012,199
5/12/2012,29
5/11/2012,199
5/5/2012,34
10/25/2014,5
7/28/2011,267
7/24/2011,28
7/22/2011,213
7/21/2011,238
7/17/2011,25
7/15/2011,188
7/10/2011,30
7/6/2011,228
7/2/2011,13
6/30/2011,235
6/29/2011,247
6/28/2011,258
6/26/2011,30
6/25/2011,21
6/24/2011,126
6/23/2011,71
6/20/2011,215
6/19/2011,37
6/17/2011,215
6/16/2011,224
6/14/2011,211
6/13/2011,181
6/12/2011,28
6/11/2011,17
6/8/2011,209
6/7/2011,250
6/6/2011,211
6/2/2011,226
5/31/2011,241
5/30/2011,215
5/29/2011,41
5/26/2011,237
5/25/2011,241
5/24/2011,222
5/23/2011,205
5/22/2011,28
5/14/2011,21
5/11/2011,271
5/4/2011,217
5/3/2011,253
5/1/2011,33
4/29/2011,218
4/28/2011,267
4/26/2011,256
4/25/2011,199
4/24/2011,24
4/22/2011,32
4/21/2011,77
4/20/2011,222
4/17/2011,56
4/14/2011,207
4/10/2011,32
4/8/2011,178
4/6/2011,231
4/5/2011,231
4/4/2011,229
4/3/2011,26
4/2/2011,17
4/1/2011,221
3/29/2011,255
3/28/2011,221
3/24/2011,238
3/22/2011,239
3/18/2011,190
3/17/2011,214
3/11/2011,199
3/10/2011,228
3/7/2011,72
3/2/2011,243
3/1/2011,233
2/28/2011,239
2/27/2011,22
2/24/2011,273
2/23/2011,236
2/22/2011,246
2/21/2011,195
2/18/2011,183
2/17/2011,184
2/16/2011,230
2/7/2011,219
2/6/2011,20
2/5/2011,10
2/4/2011,178
2/3/2011,178
2/2/2011,230
2/1/2011,226
1/31/2011,223
1/28/2011,201
1/27/2011,267
1/26/2011,216
1/25/2011,196
1/24/2011,184
1/21/2011,163
1/20/2011,212
1/19/2011,235
1/18/2011,226
1/17/2011,176
1/16/2011,24
1/14/2011,233
1/13/2011,209
1/12/2011,206
1/11/2011,200
1/10/2011,201
1/9/2011,17
1/8/2011,19
1/7/2011,207
1/6/2011,190
1/5/2011,173
1/4/2011,198
1/3/2011,223
1/1/2011,72
12/31/2010,55
12/30/2010,158
12/29/2010,151
12/28/2010,168
12/27/2010,138
12/26/2010,24
12/24/2010,77
12/23/2010,157
12/22/2010,159
12/21/2010,185
12/17/2010,177
12/16/2010,91
4/15/2012,22
4/14/2012,18
4/7/2012,21
4/1/2012,30
3/30/2012,175
3/25/2012,47
3/17/2012,40
3/14/2012,169
3/10/2012,24
3/9/2012,215
3/6/2012,213
2/29/2012,201
2/28/2012,208
2/27/2012,159
2/26/2012,37
2/19/2012,39
2/18/2012,22
2/17/2012,182
2/16/2012,226
2/12/2012,37
2/11/2012,22
1/28/2012,37
1/21/2012,25
1/14/2012,46
1/7/2012,24
12/6/2011,232
12/5/2011,194
12/4/2011,37
12/3/2011,32
11/20/2011,38
11/19/2011,30
10/29/2011,25
10/22/2011,23
10/15/2011,52
10/8/2011,23
9/3/2011,12
8/20/2011,22
8/19/2011,194
8/18/2011,217
8/17/2011,218
8/16/2011,220
8/13/2011,21
8/12/2011,205
7/23/2011,11
7/16/2011,8
7/9/2011,18
7/3/2011,27
6/18/2011,19
6/4/2011,12
6/3/2011,194
5/28/2011,12
5/21/2011,24
5/8/2011,25
5/7/2011,18
5/6/2011,206
4/30/2011,14
4/23/2011,12
4/16/2011,36
4/15/2011,219
1/23/2011,20
1/2/2011,15
4/9/2011,15
3/27/2011,26
3/26/2011,17
3/21/2011,193
3/20/2011,24
3/19/2011,32
3/13/2011,24
3/12/2011,11
3/5/2011,10
2/26/2011,14
2/20/2011,16
2/19/2011,31
2/13/2011,23
1/30/2011,16
1/29/2011,23
1/22/2011,24
1/15/2011,12
12/25/2010,18
12/20/2010,163
12/19/2010,19
12/18/2010,17
12/15/2010,41
12/14/2010,34
12/13/2010,33
4/30/2010,10
4/29/2010,3
4/18/2010,2
4/15/2010,4
2/12/2011,10
3/6/2011,29
12/12/2010,2
12/10/2010,1
11/30/2010,1
4/24/2010,1
4/23/2010,2
4/22/2010,3
4/17/2010,1
4/16/2010,3
6/8/2010,1
5/3/2010,1
