DiadaSemana,Mes,Dia,Ano,Jornal,Quantidade,Comentarios,Tweets,Facebook,LinkedIn,GooglePlus,TotalRepercussao
Tue,MAI,2,2000,G1,0,0,0,0,0,0,0
Tue,MAI,2,2000,FOLHASP,41,0,0,0,0,0,0
Tue,MAI,2,2000,ESTADAO,7,0,0,0,0,0,0
Wed,MAI,3,2000,G1,0,0,0,0,0,0,0
Wed,MAI,3,2000,FOLHASP,9,0,0,0,0,0,0
Wed,MAI,3,2000,ESTADAO,9,0,0,0,0,0,0
Thu,MAI,4,2000,G1,0,0,0,0,0,0,0
Thu,MAI,4,2000,FOLHASP,0,0,0,0,0,0,0
Thu,MAI,4,2000,ESTADAO,12,0,0,0,0,0,0
Fri,MAI,5,2000,G1,0,0,0,0,0,0,0
Fri,MAI,5,2000,FOLHASP,1,0,0,0,0,0,0
Fri,MAI,5,2000,ESTADAO,6,0,0,0,0,0,0
Sat,MAI,6,2000,G1,0,0,0,0,0,0,0
Sat,MAI,6,2000,FOLHASP,2,0,0,0,0,0,0
Sat,MAI,6,2000,ESTADAO,0,0,0,0,0,0,0
Sun,MAI,7,2000,G1,0,0,0,0,0,0,0
Sun,MAI,7,2000,FOLHASP,12,0,0,0,0,0,0
Sun,MAI,7,2000,ESTADAO,0,0,0,0,0,0,0
Mon,MAI,8,2000,G1,0,0,0,0,0,0,0
Mon,MAI,8,2000,FOLHASP,34,0,0,0,0,0,0
Mon,MAI,8,2000,ESTADAO,7,0,0,0,0,0,0
Tue,MAI,9,2000,G1,0,0,0,0,0,0,0
Tue,MAI,9,2000,FOLHASP,33,0,0,0,0,0,0
Tue,MAI,9,2000,ESTADAO,9,0,0,0,0,0,0
Wed,MAI,10,2000,G1,0,0,0,0,0,0,0
Wed,MAI,10,2000,FOLHASP,43,0,0,2,0,0,2
Wed,MAI,10,2000,ESTADAO,6,0,0,0,0,0,0
Thu,MAI,11,2000,G1,0,0,0,0,0,0,0
Thu,MAI,11,2000,FOLHASP,15,0,0,0,0,0,0
Thu,MAI,11,2000,ESTADAO,5,0,0,0,0,0,0
Fri,MAI,12,2000,G1,0,0,0,0,0,0,0
Fri,MAI,12,2000,FOLHASP,5,0,0,0,0,0,0
Fri,MAI,12,2000,ESTADAO,10,0,0,0,0,0,0
Sat,MAI,13,2000,G1,0,0,0,0,0,0,0
Sat,MAI,13,2000,FOLHASP,0,0,0,0,0,0,0
Sat,MAI,13,2000,ESTADAO,0,0,0,0,0,0,0
Sun,MAI,14,2000,G1,0,0,0,0,0,0,0
Sun,MAI,14,2000,FOLHASP,0,0,0,0,0,0,0
Sun,MAI,14,2000,ESTADAO,0,0,0,0,0,0,0
Mon,MAI,15,2000,G1,0,0,0,0,0,0,0
Mon,MAI,15,2000,FOLHASP,28,0,0,0,0,0,0
Mon,MAI,15,2000,ESTADAO,7,0,0,0,0,0,0
Tue,MAI,16,2000,G1,0,0,0,0,0,0,0
Tue,MAI,16,2000,FOLHASP,12,0,0,0,0,0,0
Tue,MAI,16,2000,ESTADAO,11,0,0,0,0,0,0
Wed,MAI,17,2000,G1,0,0,0,0,0,0,0
Wed,MAI,17,2000,FOLHASP,0,0,0,0,0,0,0
Wed,MAI,17,2000,ESTADAO,10,0,0,0,0,0,0
Thu,MAI,18,2000,G1,0,0,0,0,0,0,0
Thu,MAI,18,2000,FOLHASP,0,0,0,0,0,0,0
Thu,MAI,18,2000,ESTADAO,12,0,0,0,0,0,0
