data,quantidade
11/22/2010,47
11/21/2010,16
11/20/2010,6
11/19/2010,41
11/18/2010,50
11/17/2010,63
11/16/2010,56
11/15/2010,37
11/14/2010,18
11/13/2010,21
11/12/2010,57
11/11/2010,82
11/10/2010,82
11/9/2010,66
11/8/2010,59
11/7/2010,13
11/5/2010,48
11/4/2010,57
11/3/2010,58
11/2/2010,26
11/1/2010,43
10/31/2010,12
10/30/2010,7
10/29/2010,60
10/28/2010,65
10/27/2010,81
10/26/2010,56
10/25/2010,63
10/24/2010,27
10/22/2010,38
10/21/2010,52
10/20/2010,63
10/19/2010,53
10/18/2010,55
10/17/2010,14
10/16/2010,8
10/15/2010,49
10/14/2010,55
10/13/2010,44
10/12/2010,25
10/11/2010,31
10/10/2010,12
10/8/2010,44
