"setor","datahora","media","negocios","quantidade_papeis","volume_financeiro"
"Bens Industriais",20091214,5.04,5175,9048200,83109478
"Bens Industriais",20091215,5.09,2712,4313500,34860237
"Bens Industriais",20091216,5.07,3754,3494600,29079250
"Bens Industriais",20091217,5.05,3816,3254800,28682887
"Bens Industriais",20091218,5.03,1935,2820300,22710480
"Bens Industriais",20091221,5.20,3000,4384700,39085898
"Bens Industriais",20091222,5.19,2939,2951600,25567405
"Bens Industriais",20091223,5.32,2460,2188400,19397379
"Bens Industriais",20091228,5.45,2147,1774900,15953791
"Bens Industriais",20091229,5.17,1830,2185600,19638798
"Bens Industriais",20091230,5.25,3565,5280600,48754246
"Bens Industriais",20100104,5.31,3118,3424200,32285356
"Bens Industriais",20100105,5.58,4178,3220700,30754305
